num,name,address1,address2,address3,city,state,zip,county,phone
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,NULL,NULL,ANDALUSIA,AL,36420,COVINGTON,3342228466
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,NULL,NULL,ANNISTON,AL,36201,CALHOUN,2562358900
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,NULL,NULL,HUNTSVILLE,AL,35801,MADISON,2562651000
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,NULL,NULL,GADSDEN,AL,35903,ETOWAH,2564944000
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,NULL,NULL,CLANTON,AL,35045,CHILTON,2057552500
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,NULL,NULL,HAMILTON,AL,35570,MARION,2059216200
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,NULL,NULL,FAYETTE,AL,35555,FAYETTE,2059325966
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,NULL,NULL,GADSDEN,AL,35901,ETOWAH,2565435200
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,NULL,NULL,GEORGIANA,AL,36033,BUTLER,3343762205
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,NULL,NULL,ENTERPRISE,AL,36330,COFFEE,3343470584
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,NULL,NULL,ONEONTA,AL,35121,BLOUNT,2052743000
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,NULL,NULL,EUTAW,AL,35462,GREENE,2053723388
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,NULL,NULL,DADEVILLE,AL,36853,TALLAPOOSA,2568257821
10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,NULL,NULL,DECATUR,AL,35601,MORGAN,2563502211
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,NULL,NULL,DOTHAN,AL,36305,HOUSTON,3347935000
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,NULL,NULL,BIRMINGHAM,AL,35205,JEFFERSON,2059397000
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,NULL,NULL,CENTREVILLE,AL,35042,BIBB,2059264881
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,NULL,NULL,MOULTON,AL,35650,LAWRENCE,2569742200
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,NULL,NULL,SCOTTSBORO,AL,35768,JACKSON,2562594444
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,NULL,NULL,GENEVA,AL,36340,GENEVA,3346843655
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,NULL,NULL,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100
10066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,NULL,NULL,FLORALA,AL,36442,COVINGTON,3348583287
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,NULL,NULL,EUFAULA,AL,36027,BARBOUR,3346887271
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,NULL,NULL,ASHLAND,AL,36251,CLAY,2563542131
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,NULL,NULL,ANNISTON,AL,36207,CALHOUN,2562355121
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,NULL,NULL,ATHENS,AL,35611,LIMESTONE,2562339292
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,NULL,NULL,FOLEY,AL,36535,BALDWIN,2519493400
10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,NULL,NULL,DECATUR,AL,35609,MORGAN,2563412000
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,NULL,NULL,WINFIELD,AL,35594,MARION,2054877736
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,NULL,NULL,MOBILE,AL,36617,MOBILE,2514717110
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,NULL,NULL,JASPER,AL,35502,WALKER,2053874000
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,NULL,NULL,MOBILE,AL,36608,MOBILE,2516331000
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,NULL,NULL,GROVE HILL,AL,36451,CLARKE,2512753191
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,NULL,NULL,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,NULL,NULL,GREENSBORO,AL,36744,HALE,3346243024
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,NULL,NULL,WETUMPKA,AL,36092,ELMORE,3345674311
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,NULL,NULL,BREWTON,AL,36426,ESCAMBIA,2518678061
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,NULL,NULL,FAIRHOPE,AL,36532,BALDWIN,2519282375
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,NULL,NULL,TALLADEGA,AL,35161,TALLADEGA,2567614542
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,NULL,NULL,CAMDEN,AL,36726,WILCOX,3346824131
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,NULL,NULL,BIRMINGHAM,AL,35211,JEFFERSON,2057833800
10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,NULL,NULL,BIRMINGHAM,AL,35213,JEFFERSON,2055921000
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,NULL,NULL,PRATTVILLE,AL,36067,AUTAUGA,3343614267
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,NULL,NULL,CARROLLTON,AL,35447,PICKENS,2053678111
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,NULL,NULL,UNION SPRINGS,AL,36089,BULLOCK,3347382140
10112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,NULL,NULL,DEMOPOLIS,AL,36732,MARENGO,3342894000
10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,NULL,NULL,MOBILE,AL,36652,MOBILE,2514354700
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,NULL,NULL,BESSEMER,AL,35021,JEFFERSON,2054817000
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,NULL,NULL,SELMA,AL,36701,DALLAS,3344184100
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,NULL,NULL,MONROEVILLE,AL,36461,MONROE,2515753111
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,NULL,NULL,HALEYVILLE,AL,35565,WINSTON,2054857117
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,NULL,NULL,TROY,AL,36081,PIKE,3346705000
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,NULL,NULL,JACKSON,AL,36545,CLARKE,2512469021
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,NULL,NULL,BAY MINETTE,AL,36507,BALDWIN,2519375521
10130,ST VINCENT'S ST CLAIR,2805 DR JOHN HAYNES DRIVE,NULL,NULL,PELL CITY,AL,35125,SAINT CLAIR,2053383301
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,NULL,NULL,HUNTSVILLE,AL,35801,MADISON,2568823100
10137,COOPER GREEN MERCY HOSPITAL,1515 6TH AVENUE SOUTH,NULL,NULL,BIRMINGHAM,AL,35233,JEFFERSON,2059303200
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,NULL,NULL,YORK,AL,36925,SUMTER,2053925263
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,NULL,NULL,BIRMINGHAM,AL,35209,JEFFERSON,2058771000
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,NULL,NULL,MOBILE,AL,36608,MOBILE,2513449630
10145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,NULL,NULL,NORTHPORT,AL,35476,TUSCALOOSA,2053334500
10146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,NULL,NULL,JACKSONVILLE,AL,36265,CALHOUN,2567824538
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,NULL,NULL,EVERGREEN,AL,36401,CONECUH,2515782480
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,NULL,NULL,MONTGOMERY,AL,36117,MONTGOMERY,3342448330
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,NULL,NULL,GREENVILLE,AL,36037,BUTLER,3343822200
10152,INFIRMARY WEST,5600 GIRBY RD,NULL,NULL,MOBILE,AL,36693,MOBILE,2516605236
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,NULL,NULL,MUSCLE SHOALS,AL,35661,COLBERT,2563861601
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,NULL,NULL,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,NULL,NULL,SYLACAUGA,AL,35150,TALLADEGA,2562495000
10167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,NULL,NULL,BIRMINGHAM,AL,35205,JEFFERSON,2059757100
10168,SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,NULL,NULL,PHENIX CITY,AL,36867,RUSSELL,3347323456
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,NULL,NULL,ATMORE,AL,36502,ESCAMBIA,2513682500
11300,WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,NULL,NULL,CHATOM,AL,36518,WASHINGTON,2518472223
11302,RED BAY HOSPITAL,211 HOSPITAL ROAD,NULL,NULL,RED BAY,AL,35582,FRANKLIN,2563569532
11303,RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,NULL,NULL,ROANOKE,AL,36274,RANDOLPH,3348634111
20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,NULL,NULL,ANCHORAGE,AK,99519,ANCHORAGE,9072613675
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,NULL,NULL,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,NULL,NULL,JUNEAU,AK,99801,JUNEAU,9077968900
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,NULL,NULL,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,NULL,NULL,ANCHORAGE,AK,99508,ANCHORAGE,9072761131
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,NULL,NULL,BETHEL,AK,99559,BETHEL,9075436300
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,NULL,NULL,SOLDOTNA,AK,99669,KENAI PENINSULA,9072624404
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,NULL,NULL,ANCHORAGE,AK,99508,ANCHORAGE,9075632662
20027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,NULL,NULL,SITKA,AK,99835,SITKA,9079662411
21302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",NULL,NULL,SEWARD,AK,99664,KENAI PENINSULA,9072245205
21303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,NULL,NULL,SITKA,AK,99835,SITKA,9077473241
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,NULL,NULL,KODIAK,AK,99615,KODIAK ISLAND,9074869592
21308,NORTON SOUND REGIONAL HOSPITAL,"306 WEST 5TH AVENUE, P O BOX 966",NULL,NULL,NOME,AK,99762,NOME,9074433311
21311,KETCHIKAN GENERAL HOSPITAL,3100 TONGASS AVENUE,NULL,NULL,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171
21313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,NULL,NULL,HOMER,AK,99603,KENAI PENINSULA,9072358101
30001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,NULL,NULL,PHOENIX,AZ,85031,MARICOPA,6238485000
30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,NULL,NULL,PHOENIX,AZ,85006,MARICOPA,6022392000
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,NULL,NULL,TUCSON,AZ,85712,PIMA,5203275461
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,NULL,NULL,COTTONWOOD,AZ,86326,YAVAPAI,9286396000
30010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,NULL,NULL,TUCSON,AZ,85745,PIMA,5208723000
30011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,NULL,NULL,TUCSON,AZ,85711,PIMA,5208733000
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,NULL,NULL,PRESCOTT,AZ,86301,YAVAPAI,9284452700
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,NULL,NULL,YUMA,AZ,85364,YUMA,9283367275
30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,NULL,NULL,PHOENIX,AZ,85020,MARICOPA,6028706060
30016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,NULL,NULL,CASA GRANDE,AZ,85222,PINAL,5203816453
30022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,NULL,NULL,PHOENIX,AZ,85008,MARICOPA,6023445011
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,NULL,NULL,FLAGSTAFF,AZ,86001,COCONINO,9287732009
30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,NULL,NULL,PHOENIX,AZ,85013,MARICOPA,6024063000
30030,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,NULL,NULL,PHOENIX,AZ,85015,MARICOPA,6022490212
30033,PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,NULL,NULL,PAYSON,AZ,85541,GILA,9284743222
30036,CHANDLER REGIONAL MEDICAL CENTER,475 SOUTH DOBSON ROAD,NULL,NULL,CHANDLER,AZ,85224,MARICOPA,4809634561
30037,ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,NULL,NULL,PHOENIX,AZ,85006,MARICOPA,6022518156
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,NULL,NULL,SCOTTSDALE,AZ,85251,MARICOPA,4808824000
30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,NULL,NULL,SIERRA VISTA,AZ,85635,COCHISE,5204584641
30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,NULL,NULL,KINGMAN,AZ,86409,MOHAVE,9287572101
30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,NULL,NULL,SUN CITY,AZ,85351,MARICOPA,6239777211
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 SHOW LOW LAKE ROAD,NULL,NULL,SHOW LOW,AZ,85901,NAVAJO,9285374375
30064,UNIVERSITY MEDICAL CENTER,1501 NORTH CAMPBELL AVENUE,NULL,NULL,TUCSON,AZ,85724,PIMA,5206940111
30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,NULL,NULL,MESA,AZ,85202,MARICOPA,4804123000
30067,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,NULL,NULL,PARKER,AZ,85344,LA PAZ,9286697300
30068,MT GRAHAM REGIONAL MEDICAL CENTER,1600  S 20TH AVENUE,NULL,NULL,SAFFORD,AZ,85546,GRAHAM,9283484000
30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,NULL,NULL,LAKE HAVASU CITY,AZ,86403,MOHAVE,9288558185
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,NULL,NULL,FORT DEFIANCE,AZ,86504,APACHE,9287298000
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,NULL,NULL,TUBA CITY,AZ,86045,COCONINO,9282832501
30074,SELLS INDIAN HEALTH SERVICE HOSPITAL,PO BOX 548,NULL,NULL,SELLS,AZ,85634,PIMA,5203837200
30077,PHS INDIAN HOSPITAL-SAN CARLOS,PO BOX 208,NULL,NULL,SAN CARLOS,AZ,85550,GILA,9284752371
30078,PHOENIX INDIAN MEDICAL CENTER,4212 N 16TH ST,NULL,NULL,PHOENIX,AZ,85016,MARICOPA,6022631200
30083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,NULL,NULL,PHOENIX,AZ,85032,MARICOPA,6029235000
30084,DHHS PHS NAIHS CHINLE COMPREHENSIVE HEALTHCARE FAC,"US HWY 191, HOSPITAL ROAD",NULL,NULL,CHINLE,AZ,86503,APACHE,9286747040
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,NULL,NULL,TUCSON,AZ,85741,PIMA,5207429000
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,NULL,NULL,SCOTTSDALE,AZ,85260,MARICOPA,4803233000
30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,NULL,NULL,MESA,AZ,85206,MARICOPA,4803212000
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,NULL,NULL,GLENDALE,AZ,85306,MARICOPA,6028655555
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,19829 NORTH 27TH AVENUE,NULL,NULL,PHOENIX,AZ,85027,MARICOPA,6238795574
30093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,NULL,NULL,SUN CITY WEST,AZ,85375,MARICOPA,6232144000
30094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,NULL,NULL,GLENDALE,AZ,85308,MARICOPA,6235611000
30100,CARONDELET HEART AND VASCULAR INSTITUTE,4888 NORTH STONE AVENUE,NULL,NULL,TUCSON,AZ,85704,PIMA,5206962328
30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,NULL,NULL,BULLHEAD CITY,AZ,86442,MOHAVE,9287632273
30102,ARIZONA HEART HOSPITAL,1930 EAST THOMAS ROAD,NULL,NULL,PHOENIX,AZ,85016,MARICOPA,6025321000
30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,NULL,NULL,PHOENIX,AZ,85054,MARICOPA,4805156296
30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,NULL,NULL,MESA,AZ,85206,MARICOPA,4808545050
30107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,NULL,NULL,MESA,AZ,85206,MARICOPA,4808324770
30108,SURGICAL SPECIALTY HOSPITAL OF ARIZONA,6501 NORTH 19TH AVENUE,NULL,NULL,PHOENIX,AZ,85015,MARICOPA,6027956020
30110,WEST VALLEY HOSPITAL,13677 WEST MCDOWELL ROAD,NULL,NULL,GOODYEAR,AZ,85338,MARICOPA,6238821500
30111,UNIVERSITY PHYSICIANS HEALTHCARE HOSPITAL AT KINO,2800 EAST AJO WAY,NULL,NULL,TUCSON,AZ,85713,PIMA,5202944471
30112,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,2905 WEST WARNER ROAD,NULL,NULL,CHANDLER,AZ,85225,MARICOPA,4806039000
30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,NULL,NULL,ORO VALLEY,AZ,85755,PIMA,5209013500
30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,NULL,NULL,PHOENIX,AZ,85037,MARICOPA,6233274000
30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,NULL,NULL,FORT MOHAVE,AZ,86426,MOHAVE,9287882273
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST,7700 EAST FLORENTINE ROAD,NULL,NULL,PRESCOTT VALLEY,AZ,86314,YAVAPAI,9284428165
30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,NULL,NULL,GILBERT,AZ,85296,MARICOPA,4807288327
30120,GILBERT HOSPITAL,5656 SOUTH POWER ROAD,NULL,NULL,GILBERT,AZ,85295,MARICOPA,4802795835
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,NULL,NULL,MESA,AZ,85209,MARICOPA,4803586100
30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,NULL,NULL,GILBERT,AZ,85234,MARICOPA,4805432000
30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,7400 EAST THOMPSON PEAK PARKWAY,NULL,NULL,SCOTTSDALE,AZ,85255,MARICOPA,4803247004
30126,ARIZONA REGIONAL MEDICAL CENTER,515 NORTH MESA DRIVE,NULL,NULL,MESA,AZ,85201,MARICOPA,4808983333
30128,HUALAPAI MOUNTAIN MEDICAL CENTER,3801 SANTA ROSA DRIVE,NULL,NULL,KINGMAN,AZ,86401,MOHAVE,9282635000
31301,BENSON HOSPITAL,450 SOUTH OCOTILLO STREET,NULL,NULL,BENSON,AZ,85602,COCHISE,5205862261
31302,NORTHERN COCHISE COMMUNITY HOSPITAL,901 WEST REX ALLEN DRIVE,NULL,NULL,WILLCOX,AZ,85643,COCHISE,5203843541
31303,SOUTHEAST ARIZONA MEDICAL CENTER,2174 WEST OAK AVENUE,NULL,NULL,DOUGLAS,AZ,85607,COCHISE,5203647931
31304,PAGE HOSPITAL,501 NORTH NAVAJO DRIVE,NULL,NULL,PAGE,AZ,86040,COCONINO,6286452424
31305,HOPI HEALTH CARE CENTER,PO BOX 6000,NULL,NULL,POLACCA,AZ,86042,NAVAJO,9287376000
31309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191 PO BOX 457,NULL,NULL,GANADO,AZ,86505,APACHE,9287554500
31311,LITTLE COLORADO MEDICAL CENTER,1501 NORTH WILLIAMSON AVENUE,NULL,NULL,WINSLOW,AZ,86047,NAVAJO,9282894691
31312,COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVENUE,NULL,NULL,BISBEE,AZ,85603,COCHISE,5204325383
31313,CARONDELET HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD,NULL,NULL,NOGALES,AZ,85621,SANTA CRUZ,5202853000
31314,COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE,NULL,NULL,GLOBE,AZ,85501,GILA,9284253261
31315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVE,NULL,NULL,SPRINGERVILLE,AZ,85938,APACHE,9283334368
40001,SILOAM SPRINGS MEMORIAL HOSPITAL,205 EAST JEFFERSON STREET,NULL,NULL,SILOAM SPRINGS,AR,72761,BENTON,4795244141
40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,NULL,NULL,CLARKSVILLE,AR,72830,JOHNSON,4797545454
