Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,NULL,NULL,ALABASTER,AL,35007,SHELBY,2056208100,15.5,No Different than U.S. National Rate,12.2,19.6,  197,,12.4,No Different than U.S. National Rate,9.6,15.7,  264,, 9.3,No Different than U.S. National Rate,7.0,12.1,  278,,20.3,No Different than U.S. National Rate,16.9,24.3,  196,,25.5,No Different than U.S. National Rate,22.0,29.3,  312,,16.9,No Different than U.S. National Rate,14.1,20.1,  311,
010018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,NULL,NULL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,NULL,NULL,SHEFFIELD,AL,35660,COLBERT,2563864556,18.1,No Different than U.S. National Rate,13.5,23.8,   61,,13.6,No Different than U.S. National Rate,10.7,17.0,  305,,12.1,No Different than U.S. National Rate,9.5,15.6,  310,,20.1,No Different than U.S. National Rate,16.1,24.6,   37,,24.5,No Different than U.S. National Rate,21.3,28.1,  385,,19.4,No Different than U.S. National Rate,16.4,23.0,  340,
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,NULL,NULL,OZARK,AL,36360,DALE,3347742601,17.8,No Different than U.S. National Rate,13.9,22.5,   30,,10.4,No Different than U.S. National Rate,7.7,14.0,  122,,10.2,No Different than U.S. National Rate,7.6,13.4,  199,,NULL,Number of Cases Too Small,NULL,NULL,   10,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,26.0,No Different than U.S. National Rate,21.8,30.7,  165,,19.3,No Different than U.S. National Rate,15.9,23.1,  234,
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,NULL,NULL,CENTRE,AL,35960,CHEROKEE,2569275531,NULL,Number of Cases Too Small,NULL,NULL,   12,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,13.1,No Different than U.S. National Rate,9.6,17.4,   91,,13.4,No Different than U.S. National Rate,10.1,18.0,  169,,NULL,Number of Cases Too Small,NULL,NULL,    9,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.5,No Different than U.S. National Rate,20.1,29.2,  110,,18.0,No Different than U.S. National Rate,14.6,21.8,  177,
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,NULL,NULL,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,16.0,No Different than U.S. National Rate,13.1,19.3,  320,,12.4,No Different than U.S. National Rate,10.1,15.0,  441,,12.4,No Different than U.S. National Rate,9.9,15.3,  248,,20.1,No Different than U.S. National Rate,17.2,23.3,  368,,23.4,No Different than U.S. National Rate,20.7,26.4,  645,,23.8,Worse than U.S. National Rate,20.4,27.5,  278,
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,NULL,NULL,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,17.3,No Different than U.S. National Rate,14.3,20.9,  235,,11.9,No Different than U.S. National Rate,9.7,14.5,  497,,13.7,No Different than U.S. National Rate,11.3,16.3,  403,,20.0,No Different than U.S. National Rate,16.9,23.4,  248,,23.2,No Different than U.S. National Rate,20.5,26.2,  600,,18.1,No Different than U.S. National Rate,15.4,21.1,  412,
010025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,NULL,NULL,VALLEY,AL,36854,CHAMBERS,3347561400,17.1,No Different than U.S. National Rate,13.1,22.2,   63,, 8.8,No Different than U.S. National Rate,6.5,11.7,  229,, 9.6,No Different than U.S. National Rate,6.7,13.4,  115,,20.1,No Different than U.S. National Rate,16.2,24.6,   30,,22.6,No Different than U.S. National Rate,19.3,26.5,  278,,17.1,No Different than U.S. National Rate,13.6,21.2,  115,
010027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,NULL,NULL,ELBA,AL,36323,COFFEE,3348972257,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   20,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.6,No Different than U.S. National Rate,8.1,16.3,   81,,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.5,No Different than U.S. National Rate,18.7,29.2,   26,,17.9,No Different than U.S. National Rate,14.0,22.5,   87,
010029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,NULL,NULL,OPELIKA,AL,36801,LEE,3347493411,16.6,No Different than U.S. National Rate,13.2,20.4,  345,,12.5,No Different than U.S. National Rate,10.2,15.2,  628,,14.9,No Different than U.S. National Rate,11.6,19.1,  271,,22.8,No Different than U.S. National Rate,19.7,26.3,  390,,24.2,No Different than U.S. National Rate,21.7,26.8,  825,,15.3,No Different than U.S. National Rate,12.5,18.6,  276,
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,NULL,NULL,WEDOWEE,AL,36278,RANDOLPH,2563572111,NULL,Number of Cases Too Small,NULL,NULL,    6,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,12.8,No Different than U.S. National Rate,9.1,17.8,   64,,11.1,No Different than U.S. National Rate,7.6,16.3,   73,,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.5,No Different than U.S. National Rate,19.0,28.7,   74,,19.6,No Different than U.S. National Rate,15.7,24.3,   77,
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,NULL,NULL,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,17.1,No Different than U.S. National Rate,13.5,21.0,  198,,11.1,No Different than U.S. National Rate,8.7,14.0,  342,, 9.3,No Different than U.S. National Rate,6.9,12.5,  241,,20.0,No Different than U.S. National Rate,16.9,23.4,  251,,24.9,No Different than U.S. National Rate,22.0,28.1,  480,,20.7,No Different than U.S. National Rate,17.6,24.3,  286,
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,NULL,NULL,TALLASSEE,AL,36078,ELMORE,3342836541,NULL,Number of Cases Too Small,NULL,NULL,   24,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.1,No Different than U.S. National Rate,7.2,13.7,   86,,13.7,No Different than U.S. National Rate,10.3,18.0,  109,,NULL,Number of Cases Too Small,NULL,NULL,   16,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.4,No Different than U.S. National Rate,19.3,28.1,  119,,17.4,No Different than U.S. National Rate,13.8,21.6,  111,
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,NULL,NULL,CULLMAN,AL,35058,CULLMAN,2567372000,18.9,No Different than U.S. National Rate,15.1,23.5,  107,,10.6,No Different than U.S. National Rate,8.3,13.1,  329,,13.1,No Different than U.S. National Rate,10.7,15.9,  446,,19.8,No Different than U.S. National Rate,16.2,23.8,   66,,23.9,No Different than U.S. National Rate,20.8,27.3,  392,,17.2,No Different than U.S. National Rate,14.7,20.0,  467,
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,NULL,NULL,ANDALUSIA,AL,36420,COVINGTON,3342228466,15.4,No Different than U.S. National Rate,11.6,20.1,   26,,10.5,No Different than U.S. National Rate,8.0,13.9,  215,,10.1,No Different than U.S. National Rate,7.4,13.7,  212,,NULL,Number of Cases Too Small,NULL,NULL,   10,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,28.3,No Different than U.S. National Rate,24.3,32.6,  258,,18.7,No Different than U.S. National Rate,15.4,22.5,  222,
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,NULL,NULL,ANNISTON,AL,36201,CALHOUN,2562358900,16.5,No Different than U.S. National Rate,12.7,21.3,   91,,11.9,No Different than U.S. National Rate,9.1,15.5,  210,,12.3,No Different than U.S. National Rate,9.3,16.2,  213,,21.3,No Different than U.S. National Rate,17.4,25.5,   69,,25.7,No Different than U.S. National Rate,21.9,29.9,  239,,19.9,No Different than U.S. National Rate,16.4,23.9,  222,
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,NULL,NULL,HUNTSVILLE,AL,35801,MADISON,2562651000,15.9,No Different than U.S. National Rate,13.9,18.3, 1022,,11.5,No Different than U.S. National Rate,10.1,13.1, 1489,,12.2,No Different than U.S. National Rate,10.5,14.1,  947,,20.0,No Different than U.S. National Rate,18.1,22.3, 1130,,23.6,No Different than U.S. National Rate,21.9,25.4, 1850,,18.3,No Different than U.S. National Rate,16.4,20.4,  994,
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,NULL,NULL,GADSDEN,AL,35903,ETOWAH,2564944000,17.9,No Different than U.S. National Rate,14.3,22.0,  231,,11.4,No Different than U.S. National Rate,9.2,14.2,  432,,13.4,No Different than U.S. National Rate,11.2,16.0,  605,,18.8,No Different than U.S. National Rate,15.7,22.3,  227,,25.0,No Different than U.S. National Rate,22.1,28.2,  533,,19.5,No Different than U.S. National Rate,17.0,22.4,  603,
010043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,NULL,NULL,CLANTON,AL,35045,CHILTON,2057552500,NULL,Number of Cases Too Small,NULL,NULL,    3,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.7,No Different than U.S. National Rate,7.4,15.0,   32,,10.8,No Different than U.S. National Rate,7.4,15.4,   51,,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.8,No Different than U.S. National Rate,19.1,29.1,   41,,16.8,No Different than U.S. National Rate,13.1,21.3,   55,
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,NULL,NULL,HAMILTON,AL,35570,MARION,2059216200,NULL,Number of Cases Too Small,NULL,NULL,    7,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,12.5,No Different than U.S. National Rate,8.6,17.2,   83,,11.7,No Different than U.S. National Rate,8.8,15.3,  264,,NULL,Number of Cases Too Small,NULL,NULL,    3,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.4,No Different than U.S. National Rate,20.8,30.6,  101,,19.7,No Different than U.S. National Rate,16.4,23.4,  312,
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,NULL,NULL,FAYETTE,AL,35555,FAYETTE,2059325966,17.6,No Different than U.S. National Rate,13.7,22.0,   31,,11.6,No Different than U.S. National Rate,8.7,15.4,  107,,10.0,No Different than U.S. National Rate,7.5,13.0,  224,,NULL,Number of Cases Too Small,NULL,NULL,   16,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.9,No Different than U.S. National Rate,20.5,29.8,  126,,16.8,No Different than U.S. National Rate,13.8,20.1,  247,
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,NULL,NULL,GADSDEN,AL,35901,ETOWAH,2565435200,16.7,No Different than U.S. National Rate,13.3,20.9,  200,,11.8,No Different than U.S. National Rate,9.6,14.4,  484,,10.4,No Different than U.S. National Rate,8.0,13.1,  382,,21.5,No Different than U.S. National Rate,18.1,25.4,  206,,26.6,No Different than U.S. National Rate,23.8,29.8,  568,,22.1,Worse than U.S. National Rate,18.9,25.5,  391,
010047,GEORGIANA HOSPITAL,515 MIRANDA ST,NULL,NULL,GEORGIANA,AL,36033,BUTLER,3343762205,15.0,No Different than U.S. National Rate,11.4,19.2,   35,, 9.7,No Different than U.S. National Rate,6.9,13.4,   82,,10.7,No Different than U.S. National Rate,7.8,14.6,  118,,20.9,No Different than U.S. National Rate,16.9,25.2,   29,,32.3,Worse than U.S. National Rate,27.3,37.8,  130,,23.1,Worse than U.S. National Rate,18.9,28.0,  135,
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,NULL,NULL,ENTERPRISE,AL,36330,COFFEE,3343470584,17.1,No Different than U.S. National Rate,13.4,21.4,   45,,10.7,No Different than U.S. National Rate,7.9,14.4,  173,,11.8,No Different than U.S. National Rate,8.8,15.5,  213,,20.2,No Different than U.S. National Rate,16.6,24.7,   25,,22.3,No Different than U.S. National Rate,18.5,26.6,  199,,19.2,No Different than U.S. National Rate,15.8,23.0,  227,
010050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,NULL,NULL,ONEONTA,AL,35121,BLOUNT,2052743000,17.4,No Different than U.S. National Rate,13.3,22.4,   29,,13.5,No Different than U.S. National Rate,9.9,18.6,   83,,11.2,No Different than U.S. National Rate,8.3,15.0,  160,,NULL,Number of Cases Too Small,NULL,NULL,   19,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,26.1,No Different than U.S. National Rate,21.6,31.3,   88,,17.2,No Different than U.S. National Rate,14.0,21.2,  168,
